LGA code,Local Government Area,2018 no.,2019 no.,,Population Change,Change In %,,Natural Increase,Net Internal Migration,Net Overseas migration,,Area in KM2,Population Density 2019,State
20110,Alpine (S),12730,12814,,84,0.7,,-49,61,72,,4788.2,2.7,VIC
20260,Ararat (RC),11795,11845,,50,0.4,,-5,-8,63,,4211.1,2.8,VIC
20570,Ballarat (C),107324,109505,,2181,2.0,,444,1187,550,,739.0,148.2,VIC
20660,Banyule (C),130250,131631,,1381,1.1,,573,-492,1300,,62.5,2104.7,VIC
20740,Bass Coast (S),35326,36320,,994,2.8,,-27,901,120,,865.8,41.9,VIC
20830,Baw Baw (S),52012,53396,,1384,2.7,,242,1012,130,,4027.6,13.3,VIC
20910,Bayside (C),105745,106862,,1117,1.1,,125,-17,1009,,37.2,2871.8,VIC
21010,Benalla (RC),14023,14037,,14,0.1,,-19,7,26,,2352.6,6.0,VIC
21110,Boroondara (C),181376,183199,,1823,1.0,,364,-947,2406,,60.2,3044.3,VIC
21180,Brimbank (C),208744,209523,,779,0.4,,1495,-3884,3168,,123.4,1697.9,VIC
21270,Buloke (S),6183,6124,,-59,-1.0,,-31,-44,16,,8000.4,0.8,VIC
21370,Campaspe (S),37590,37622,,32,0.1,,-12,-32,76,,4518.9,8.3,VIC
21450,Cardinia (S),107117,112159,,5042,4.7,,1294,3204,544,,1282.6,87.4,VIC
21610,Casey (C),340443,353872,,13429,3.9,,3823,5766,3840,,409.4,864.3,VIC
21670,Central Goldfields (S),13208,13186,,-22,-0.2,,-79,37,20,,1532.8,8.6,VIC
21750,Colac-Otway (S),21502,21564,,62,0.3,,37,-61,86,,3437.5,6.3,VIC
21830,Corangamite (S),16139,16020,,-119,-0.7,,-37,-124,42,,4407.5,3.6,VIC
21890,Darebin (C),161653,164184,,2531,1.6,,917,-1504,3118,,53.5,3070.5,VIC
22110,East Gippsland (S),46816,47316,,500,1.1,,-46,452,94,,20940.2,2.3,VIC
22170,Frankston (C),141847,142643,,796,0.6,,746,-733,783,,129.6,1100.7,VIC
22250,Gannawarra (S),10546,10472,,-74,-0.7,,-36,-42,4,,3735.3,2.8,VIC
22310,Glen Eira (C),153920,156511,,2591,1.7,,728,-871,2734,,38.7,4045.2,VIC
22410,Glenelg (S),19664,19674,,10,0.1,,-1,-23,34,,6218.6,3.2,VIC
22490,Golden Plains (S),23118,23722,,604,2.6,,139,433,32,,2703.4,8.8,VIC
22620,Greater Bendigo (C),116041,118093,,2052,1.8,,490,1056,506,,3000.0,39.4,VIC
22670,Greater Dandenong (C),166140,168201,,2061,1.2,,1308,-3162,3915,,129.5,1298.4,VIC
22750,Greater Geelong (C),252229,258934,,6705,2.7,,1030,3796,1879,,1248.0,207.5,VIC
22830,Greater Shepparton (C),66008,66498,,490,0.7,,312,-355,533,,2421.9,27.5,VIC
22910,Hepburn (S),15812,15975,,163,1.0,,-9,124,48,,1473.0,10.8,VIC
22980,Hindmarsh (S),5644,5588,,-56,-1.0,,-45,-25,14,,7524.2,0.7,VIC
23110,Hobsons Bay (C),96481,97751,,1270,1.3,,674,-508,1104,,64.2,1521.6,VIC
23190,Horsham (RC),19874,19921,,47,0.2,,75,-85,57,,4266.8,4.7,VIC
23270,Hume (C),224423,233471,,9048,4.0,,2698,3129,3221,,503.9,463.4,VIC
23350,Indigo (S),16489,16701,,212,1.3,,16,166,30,,2040.1,8.2,VIC
23430,Kingston (C) (Vic.),163452,165782,,2330,1.4,,711,-523,2142,,91.4,1814.4,VIC
23670,Knox (C),163212,164538,,1326,0.8,,814,-899,1411,,113.9,1444.4,VIC
23810,Latrobe (C) (Vic.),75209,75561,,352,0.5,,111,1,240,,1425.6,53.0,VIC
23940,Loddon (S),7513,7504,,-9,-0.1,,-21,-2,14,,6696.4,1.1,VIC
24130,Macedon Ranges (S),49387,50231,,844,1.7,,202,488,154,,1748.3,28.7,VIC
24210,Manningham (C),125535,127573,,2038,1.6,,94,-27,1971,,113.3,1125.5,VIC
24250,Mansfield (S),8979,9176,,197,2.2,,2,132,63,,3843.9,2.4,VIC
24330,Maribyrnong (C),91413,93448,,2035,2.2,,823,-886,2098,,31.2,2992.7,VIC
24410,Maroondah (C),117505,118558,,1053,0.9,,625,-706,1134,,61.4,1930.6,VIC
24600,Melbourne (C),170317,178955,,8638,5.1,,841,-800,8597,,37.4,4791.1,VIC
24650,Melton (C),156718,164895,,8177,5.2,,1985,4849,1343,,527.5,312.6,VIC
24780,Mildura (RC),55516,55777,,261,0.5,,234,-433,460,,22082.5,2.5,VIC
24850,Mitchell (S),44298,46082,,1784,4.0,,355,1197,232,,2862.1,16.1,VIC
24900,Moira (S),29797,29925,,128,0.4,,6,10,112,,4046.4,7.4,VIC
24970,Monash (C),200212,202847,,2635,1.3,,367,-3900,6168,,81.5,2489.4,VIC
25060,Moonee Valley (C),127906,130294,,2388,1.9,,619,31,1738,,43.1,3020.4,VIC
25150,Moorabool (S),34156,35049,,893,2.6,,239,574,80,,2110.6,16.6,VIC
25250,Moreland (C),181780,185767,,3987,2.2,,1364,-925,3548,,51.0,3645.9,VIC
25340,Mornington Peninsula (S),165823,167636,,1813,1.1,,116,1000,697,,724.2,231.5,VIC
25430,Mount Alexander (S),19514,19754,,240,1.2,,-35,208,67,,1529.6,12.9,VIC
25490,Moyne (S),16887,16953,,66,0.4,,53,-57,70,,5481.7,3.1,VIC
25620,Murrindindi (S),14478,14570,,92,0.6,,-16,56,52,,3879.8,3.8,VIC
25710,Nillumbik (S),64941,65094,,153,0.2,,294,-450,309,,432.3,150.6,VIC
25810,Northern Grampians (S),11430,11402,,-28,-0.2,,-13,-57,42,,5729.9,2.0,VIC
25900,Port Phillip (C),113265,115601,,2336,2.1,,754,-604,2186,,20.7,5582.1,VIC
25990,Pyrenees (S),7353,7472,,119,1.6,,-1,111,9,,3434.6,2.2,VIC
26080,Queenscliffe (B),2982,2940,,-42,-1.4,,-15,-41,14,,8.6,341.2,VIC
26170,South Gippsland (S),29575,29914,,339,1.1,,9,255,75,,3296.3,9.1,VIC
26260,Southern Grampians (S),16134,16100,,-34,-0.2,,6,-100,60,,6654.0,2.4,VIC
26350,Stonnington (C),116281,117768,,1487,1.3,,420,-1048,2115,,25.7,4591.1,VIC
