S/T code,S/T name,LGA code,LGA name,Males no.,Females no.,Persons no.,,Sex ratio_males per 100 females,,Median age in years,,People aged 0–14 years in %,People aged 15–64 years in %,People aged 65 years and over in %
1,New South Wales,10050,Albury (C),26348,28005,54353,,94.1,,38.6,,19.4,62.5,18.1
1,New South Wales,10130,Armidale Regional (A),14995,15784,30779,,95.0,,35.9,,17.6,65.4,17.0
1,New South Wales,10250,Ballina (A),21549,23079,44628,,93.4,,47.6,,16.8,57.5,25.6
1,New South Wales,10300,Balranald (A),1193,1145,2338,,104.2,,40.2,,20.5,61.6,17.9
1,New South Wales,10470,Bathurst Regional (A),21961,21657,43618,,101.4,,36.7,,19.5,64.2,16.3
1,New South Wales,10500,Bayside (A),89721,88675,178396,,101.2,,35.1,,15.5,70.4,14.1
1,New South Wales,10550,Bega Valley (A),16937,17539,34476,,96.6,,51.2,,16.1,57.0,26.8
1,New South Wales,10600,Bellingen (A),6343,6653,12996,,95.3,,49.1,,17.7,57.7,24.6
1,New South Wales,10650,Berrigan (A),4398,4352,8750,,101.1,,49.4,,16.5,53.7,29.8
1,New South Wales,10750,Blacktown (C),187629,186822,374451,,100.4,,33.8,,22.8,66.7,10.5
1,New South Wales,10800,Bland (A),3026,2946,5972,,102.7,,43.4,,20.1,57.8,22.1
1,New South Wales,10850,Blayney (A),3685,3694,7379,,99.8,,42.8,,20.5,60.3,19.2
1,New South Wales,10900,Blue Mountains (C),38526,40592,79118,,94.9,,44.0,,18.1,61.3,20.6
1,New South Wales,10950,Bogan (A),1300,1280,2580,,101.6,,40.5,,21.1,59.8,19.1
1,New South Wales,11150,Bourke (A),1238,1352,2590,,91.6,,35.8,,25.5,61.0,13.5
1,New South Wales,11200,Brewarrina (A),857,754,1611,,113.7,,32.7,,23.6,65.4,11.0
1,New South Wales,11250,Broken Hill (C),8512,8967,17479,,94.9,,45.0,,16.9,60.2,22.9
1,New South Wales,11300,Burwood (A),19999,20613,40612,,97.0,,32.8,,12.2,73.6,14.2
1,New South Wales,11350,Byron (A),16932,18149,35081,,93.3,,43.8,,17.2,64.5,18.3
1,New South Wales,11400,Cabonne (A),6802,6832,13634,,99.6,,43.5,,21.0,58.5,20.5
1,New South Wales,11450,Camden (A),49939,51498,101437,,97.0,,32.4,,24.5,66.0,9.4
1,New South Wales,11500,Campbelltown (C) (NSW),84465,86478,170943,,97.7,,34.4,,21.9,65.7,12.3
1,New South Wales,11520,Canada Bay (A),46624,49450,96074,,94.3,,36.7,,16.0,69.0,15.1
1,New South Wales,11570,Canterbury-Bankstown (A),189987,187930,377917,,101.1,,35.0,,20.2,65.8,14.0
1,New South Wales,11600,Carrathool (A),1439,1360,2799,,105.8,,38.9,,21.6,64.0,14.4
1,New South Wales,11650,Central Coast (C) (NSW),168283,175685,343968,,95.8,,41.9,,18.7,60.6,20.7
1,New South Wales,11700,Central Darling (A),989,850,1839,,116.4,,37.2,,21.1,62.8,16.1
